dL,dL_bi,L_b,L_d,L_i,T_bd,T_bi,R_db,lambda
1.7519,0.1301000000000001,2.084,3.8359,2.2141,231.0,21.0,1.8406429942418425,0.0027500000000000003
1.7637,0.13400000000000034,2.0801,3.8438,2.2141,210.0,21.0,1.8478919282726793,0.003106666666666667
1.5566999999999998,0.1947000000000001,2.0234,3.5801,2.2181,147.0,24.0,1.7693486211327467,0.004065
2.9326000000000003,0.4540000000000002,1.626,4.5586,2.08,363.0,90.0,2.803567035670357,0.0027600000000000003
1.4375,-0.2299,2.1484,3.5859,1.9185,141.0,-54.0,1.6691025879724446,0.0034100000000000003
2.1602,-0.009799999999999809,2.0898,4.25,2.08,288.0,24.0,2.0336874342042304,0.0026783333333333338
1.9482000000000002,0.061100000000000154,1.6299,3.5781,1.691,168.0,9.0,2.1952880544818703,0.004621666666666666
1.8262,0.06469999999999976,2.0234,3.8496,2.0881,195.0,9.0,1.9025402787387566,0.0033333333333333335
1.4228,0.07120000000000015,1.96,3.3828,2.0312,162.0,9.0,1.725918367346939,0.003941666666666666
1.9893,0.6387,1.7744,3.7637,2.4131,225.0,84.0,2.1211113615870154,0.0036300000000000004
2.2061,0.7657999999999998,1.9033,4.1094,2.6691,246.0,117.0,2.159092103189198,0.0028783333333333334
1.6367000000000003,0.12990000000000013,2.0801,3.7168,2.21,258.0,27.0,1.786837171289842,0.0021550000000000002
1.9022999999999999,0.403,1.9512,3.8535,2.3542,237.0,66.0,1.9749384993849937,0.0028016666666666667
1.7178,0.22009999999999996,1.8213,3.5391,2.0414,195.0,33.0,1.9431724592324164,0.003475
1.3702,0.00029999999999996696,1.8857,3.2559,1.886,162.0,0.0,1.7266267168690672,0.003483333333333333
1.7558999999999998,0.1977,1.6914,3.4473,1.8891,288.0,42.0,2.038134090102873,0.0025983333333333336
1.5596,-0.11099999999999999,1.8213,3.3809,1.7103,183.0,-15.0,1.8563114259045737,0.003703333333333333
1.6953,-0.060799999999999965,1.7559,3.4512,1.6951,204.0,-15.0,1.9654877840423715,0.003505
1.4228,-0.1755,1.96,3.3828,1.7845,183.0,-9.0,1.725918367346939,0.003501666666666667
1.3662,0.07390000000000008,1.8213,3.1875,1.8952,168.0,12.0,1.7501235381321034,0.003728333333333334
1.8193000000000001,0.4578000000000002,1.8213,3.6406,2.2791,258.0,78.0,1.9989018832701917,0.002845
1.5703,0.20379999999999976,1.8203,3.3906,2.0241,168.0,27.0,1.86266000109872,0.003938333333333334
1.6299000000000001,0.1983999999999999,1.8857,3.5156,2.0841,174.0,30.0,1.864347457177706,0.003313333333333333
3.5909000000000004,0.33240000000000025,1.8857,5.4766,2.2181,624.0,123.0,2.9042795778755903,0.0013283333333333333
1.2930000000000001,-0.7891000000000004,2.8711,4.1641,2.082,84.0,-27.0,1.4503500400543345,0.004445
1.5625,-0.25949999999999984,2.1445,3.707,1.885,153.0,-24.0,1.7286080671485196,0.0035850000000000005
